REPORT_TYPE,RACE_RAW,ARREST_YEAR,SEX,ARREST_TYPE,CHARGE,CHARGE_DESCRIPTION,ADDRESS,LATITUDE,LONGITUDE,BOOKING_LOCATION,geometry,Neighborhood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.1382,-118.1874,NA,"c(-118.1874, 34.1382)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377AHS,NA,8TH                          ST,34.0523,-118.2722,NA,"c(-118.2722, 34.0523)",Westlake
RFC,White,2019,Male,Misdemeanor,11550A,NA,5TH,34.043,-118.242,NA,"c(-118.242, 34.043)",Downtown
RFC,White,2019,Male,Misdemeanor,11377,NA,MARMION,34.1138,-118.1861,NA,"c(-118.1861, 34.1138)",Highland Park
RFC,Other,2019,Male,Infraction,11375B 2 H&,NA,SHERMAN                      WY,34.2012,-118.4094,NA,"c(-118.4094, 34.2012)",Valley Glen
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(H&S),NA,BUDLONG                      AV,34.0328,-118.2959,NA,"c(-118.2959, 34.0328)",Adams-Normandie
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377H&S,NA,VAN NUYS                     BL,34.1877,-118.4487,NA,"c(-118.4487, 34.1877)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,14900    OXNARD                       ST,34.1794,-118.4574,NA,"c(-118.4574, 34.1794)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.1439,-118.1955,NA,"c(-118.1955, 34.1439)",Eagle Rock
RFC,White,2019,Female,Misdemeanor,11377,NA,LIBERTY,34.0786,-118.2615,NA,"c(-118.2615, 34.0786)",Echo Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,VERDUGO,34.1131,-118.2355,NA,"c(-118.2355, 34.1131)",Glassell Park
RFC,White,2019,Male,Misdemeanor,11377H&S,NA,ERWIN,34.1831,-118.3834,NA,"c(-118.3834, 34.1831)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,6400    LANKERSHIM                   BL,34.1826,-118.3916,NA,"c(-118.3916, 34.1826)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,GLENALBYN,34.1152,-118.1898,NA,"c(-118.1898, 34.1152)",Highland Park
RFC,White,2019,Male,Misdemeanor,11377(A)H&S,NA,2900    BEVERLY                      BL,34.0711,-118.2805,NA,"c(-118.2805, 34.0711)",Westlake
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,BONSALLO                     AV,34.0336,-118.2759,NA,"c(-118.2759, 34.0336)",University Park
RFC,Other,2019,Male,Misdemeanor,11377 H&S,NA,ERWIN                        ST,34.183,-118.4662,NA,"c(-118.4662, 34.183)",Van Nuys
RFC,Black,2019,Male,Misdemeanor,11377H&S,NA,71ST                         ST,33.9757,-118.3324,NA,"c(-118.3324, 33.9757)",Hyde Park
RFC,White,2019,Male,Misdemeanor,11377H&S,NA,5700    SEPULVEDA                    BL,34.174,-118.4662,NA,"c(-118.4662, 34.174)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377H&S,NA,HOOVER                       ST,34.0362,-118.284,NA,"c(-118.284, 34.0362)",University Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377A,NA,OXNARD                       ST,34.1794,-118.3834,NA,"c(-118.3834, 34.1794)",North Hollywood
RFC,Black,2019,Male,Misdemeanor,11550AH&S,NA,7TH,34.0412,-118.2474,NA,"c(-118.2474, 34.0412)",Downtown
RFC,White,2019,Male,Misdemeanor,11377,NA,MOORPARK                     ST,34.1506,-118.4411,NA,"c(-118.4411, 34.1506)",Sherman Oaks
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11375,NA,COLORADO,34.1391,-118.2141,NA,"c(-118.2141, 34.1391)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,ALVARADO,34.0693,-118.2687,NA,"c(-118.2687, 34.0693)",Westlake
RFC,Black,2019,Male,Misdemeanor,11377(A)PC,NA,PEACH                        ST,34.1985,-118.4683,NA,"c(-118.4683, 34.1985)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.1382,-118.1874,NA,"c(-118.1874, 34.1382)",Eagle Rock
RFC,White,2019,Male,Misdemeanor,11550AH&S,NA,6TH,34.0428,-118.2461,NA,"c(-118.2461, 34.0428)",Downtown
RFC,Black,2019,Male,Misdemeanor,11550AHS,NA,7TH,34.039,-118.2444,NA,"c(-118.2444, 34.039)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,GILROY,34.1022,-118.2455,NA,"c(-118.2455, 34.1022)",Elysian Valley
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,SYCAMORE,34.0986,-118.2962,NA,"c(-118.2962, 34.0986)",East Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377A,NA,LANKERSHIM                   BL,34.1589,-118.3742,NA,"c(-118.3742, 34.1589)",North Hollywood
RFC,White,2019,Male,Misdemeanor,11377H&S,NA,6000    LANKERSHIM                   BL,34.1794,-118.3834,NA,"c(-118.3834, 34.1794)",North Hollywood
RFC,White,2019,Female,Misdemeanor,11377(A)H&S,NA,ARCHWOOD,34.1976,-118.4574,NA,"c(-118.4574, 34.1976)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,HAZELTINE,34.1594,-118.44,NA,"c(-118.44, 34.1594)",Sherman Oaks
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,COMET,34.1198,-118.1704,NA,"c(-118.1704, 34.1198)",Highland Park
RFC,Black,2019,Male,Misdemeanor,11377(A)H&S,NA,23RD                         ST,34.0352,-118.284,NA,"c(-118.284, 34.0352)",University Park
RFC,White,2019,Male,Misdemeanor,11377,NA,YORK                         BL,34.1152,-118.1837,NA,"c(-118.1837, 34.1152)",Highland Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377A,NA,BELLAIRE                     AV,34.2012,-118.4094,NA,"c(-118.4094, 34.2012)",Valley Glen
RFC,White,2019,Male,Misdemeanor,11377,NA,LYMAN,34.1,-118.2885,NA,"c(-118.2885, 34.1)",Los Feliz
RFC,White,2019,Male,Misdemeanor,11377,NA,GLENDALE,34.0856,-118.2599,NA,"c(-118.2599, 34.0856)",Echo Park
RFC,Other,2019,Male,Misdemeanor,11377,NA,COLORADO,34.1394,-118.2062,NA,"c(-118.2062, 34.1394)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,AVENUE 33,34.1152,-118.2397,NA,"c(-118.2397, 34.1152)",Glassell Park
RFC,White,2019,Male,Misdemeanor,11550AHS,NA,7TH,34.0407,-118.2468,NA,"c(-118.2468, 34.0407)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11375.5(B)H,NA,17TH                         ST,33.7288,-118.2836,NA,"c(-118.2836, 33.7288)",San Pedro
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11550A,NA,AGATHA,34.0384,-118.2464,NA,"c(-118.2464, 34.0384)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,MARMION,34.1138,-118.1832,NA,"c(-118.1832, 34.1138)",Highland Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,RAYMER                       ST,34.2103,-118.4584,NA,"c(-118.4584, 34.2103)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11375B2,NA,AVENUE 26,34.0845,-118.2231,NA,"c(-118.2231, 34.0845)",Cypress Park
RFC,White,2019,Female,Misdemeanor,11377AHS,NA,14800    FRIAR                        ST,34.1857,-118.4553,NA,"c(-118.4553, 34.1857)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,3200    CASITAS                      AV,34.1148,-118.2505,NA,"c(-118.2505, 34.1148)",Atwater Village
RFC,White,2019,Female,Misdemeanor,11377H&S,NA,13000    RAYMER                       ST,34.2051,-118.416,NA,"c(-118.416, 34.2051)",Sun Valley
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,AVENUE 24,34.0736,-118.2169,NA,"c(-118.2169, 34.0736)",Lincoln Heights
RFC,White,2019,Male,Misdemeanor,11377,NA,EAGLE ROCK,34.1391,-118.2141,NA,"c(-118.2141, 34.1391)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377 H&S,NA,LANKERSHIM                   BL,34.17,-118.3777,NA,"c(-118.3777, 34.17)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.0812,-118.2265,NA,"c(-118.2265, 34.0812)",Cypress Park
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377,NA,LIBERTY,34.08,-118.2606,NA,"c(-118.2606, 34.08)",Echo Park
RFC,White,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.1334,-118.1897,NA,"c(-118.1897, 34.1334)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,CASITAS,34.1129,-118.2482,NA,"c(-118.2482, 34.1129)",Atwater Village
RFC,White,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.1382,-118.1874,NA,"c(-118.1874, 34.1382)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,COLORADO,34.1391,-118.2141,NA,"c(-118.2141, 34.1391)",Eagle Rock
RFC,White,2019,Male,Misdemeanor,11377H&S,NA,LA BREA,34.098,-118.3441,NA,"c(-118.3441, 34.098)",Hollywood
RFC,Black,2019,Male,Misdemeanor,11377H&S,NA,OXNARD                       ST,34.1794,-118.4662,NA,"c(-118.4662, 34.1794)",Sepulveda Basin
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,ELLENWOOD,34.118,-118.2184,NA,"c(-118.2184, 34.118)",Eagle Rock
RFC,Other,2019,Male,Misdemeanor,11377 H&S,NA,HAMLIN                       ST,34.1886,-118.4268,NA,"c(-118.4268, 34.1886)",Valley Glen
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,SUNSET,34.0958,-118.2841,NA,"c(-118.2841, 34.0958)",Silver Lake
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377 HS,NA,7100    SEPULVEDA                    BL,34.1938,-118.4702,NA,"c(-118.4702, 34.1938)",Van Nuys
RFC,White,2019,Male,Misdemeanor,11377,NA,LIBERTY,34.0832,-118.2572,NA,"c(-118.2572, 34.0832)",Echo Park
RFC,Black,2019,Male,Misdemeanor,11550AH&S,NA,5TH                          ST,34.0426,-118.2412,NA,"c(-118.2412, 34.0426)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,GLENALBYN,34.0946,-118.2144,NA,"c(-118.2144, 34.0946)",Mount Washington
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,GLEN ELLEN,34.1032,-118.1958,NA,"c(-118.1958, 34.1032)",Highland Park
RFC,Black,2019,Male,Misdemeanor,11377 H&S,NA,WYANDOTTE                    ST,34.203,-118.4501,NA,"c(-118.4501, 34.203)",Van Nuys
RFC,Black,2019,Male,Misdemeanor,11377AHS,NA,5TH                          ST,34.0448,-118.2474,NA,"c(-118.2474, 34.0448)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H2S,NA,700 S  CHICAGO                      ST,34.0368,-118.2173,NA,"c(-118.2173, 34.0368)",Boyle Heights
RFC,White,2019,Male,Misdemeanor,11377,NA,COLORADO,34.1394,-118.2062,NA,"c(-118.2062, 34.1394)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,CLINTON                      ST,34.0818,-118.2868,NA,"c(-118.2868, 34.0818)",East Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,76TH,33.9708,-118.2783,NA,"c(-118.2783, 33.9708)",Florence
RFC,Black,2019,Male,Misdemeanor,11550AH&S,NA,3RD,34.0464,-118.2402,NA,"c(-118.2402, 34.0464)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,381(B)LAMC,NA,4900    DARTMOUTH                    AV,34.0711,-118.1783,NA,"c(-118.1783, 34.0711)",El Sereno
RFC,White,2019,Male,Misdemeanor,11377,NA,10800    BLUFFSIDE                    DR,34.1405,-118.3665,NA,"c(-118.3665, 34.1405)",Studio City
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,BURBANK,34.1722,-118.3659,NA,"c(-118.3659, 34.1722)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377 HS,NA,7100    SEPULVEDA                    BL,34.1938,-118.4702,NA,"c(-118.4702, 34.1938)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,04200    EAGLE ROCK                   BL,34.1218,-118.2252,NA,"c(-118.2252, 34.1218)",Glassell Park
RFC,Black,2019,Male,Misdemeanor,11550H&S,NA,4TH,34.0458,-118.243,NA,"c(-118.243, 34.0458)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(H&S),NA,2500 S  CATALINA                     ST,34.0337,-118.2943,NA,"c(-118.2943, 34.0337)",Adams-Normandie
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11375HS,NA,5000    HIGHLAND VIEW                AV,34.1377,-118.2084,NA,"c(-118.2084, 34.1377)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.0974,-118.2367,NA,"c(-118.2367, 34.0974)",Glassell Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11550 A,NA,5TH,34.0442,-118.2439,NA,"c(-118.2439, 34.0442)",Downtown
RFC,Black,2019,Male,Misdemeanor,11377H&S,NA,7300 N  SEPULVEDA                    BL,34.2085,-118.4698,NA,"c(-118.4698, 34.2085)",Van Nuys
RFC,White,2019,Female,Misdemeanor,11377,NA,VERANO,34.1442,-118.218,NA,"c(-118.218, 34.1442)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377H&S,NA,12800    SHERMAN                      WY,34.2012,-118.4116,NA,"c(-118.4116, 34.2012)",Valley Glen
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377 H&S,NA,LAUREL CANYON                BL,34.156,-118.3874,NA,"c(-118.3874, 34.156)",Valley Village
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377AHS,NA,22ND                         ST,33.7257,-118.2766,NA,"c(-118.2766, 33.7257)",San Pedro
RFC,White,2019,Male,Misdemeanor,11375 B 1,NA,2000 N  FIGUEROA                     ST,34.0884,-118.2258,NA,"c(-118.2258, 34.0884)",Cypress Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,CASITAS,34.1129,-118.2482,NA,"c(-118.2482, 34.1129)",Atwater Village
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377 H&S,NA,14900    HARTLAND                     ST,34.1953,-118.4575,NA,"c(-118.4575, 34.1953)",Van Nuys
RFC,Black,2019,Male,Infraction,11377(A)H&S,NA,ALVARADO,34.058,-118.2759,NA,"c(-118.2759, 34.058)",Westlake
RFC,White,2019,Male,Misdemeanor,11377,NA,MARMION,34.1138,-118.1861,NA,"c(-118.1861, 34.1138)",Highland Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,COMMONWEALTH,34.0852,-118.1739,NA,"c(-118.1739, 34.0852)",El Sereno
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FAIR PARK,34.1366,-118.2169,NA,"c(-118.2169, 34.1366)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11350 H/S,NA,13700    VENTURA                      BL,34.148,-118.4312,NA,"c(-118.4312, 34.148)",Sherman Oaks
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,10700    VENTURA                      BL,34.1379,-118.364,NA,"c(-118.364, 34.1379)",Studio City
RFC,White,2019,Male,Misdemeanor,11377,NA,CRANER                       AV,34.1594,-118.3657,NA,"c(-118.3657, 34.1594)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377 HS,NA,14400    VALERIO                      ST,34.2048,-118.4468,NA,"c(-118.4468, 34.2048)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,VANOWEN,34.1939,-118.4531,NA,"c(-118.4531, 34.1939)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FIGUEROA,34.1423,-118.1859,NA,"c(-118.1859, 34.1423)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,AVENUE 26,34.0845,-118.2231,NA,"c(-118.2231, 34.0845)",Cypress Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,BARLOW                       ST,34.0526,-118.2041,NA,"c(-118.2041, 34.0526)",Boyle Heights
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,14700    VICTORY                      BL,34.1903,-118.4574,NA,"c(-118.4574, 34.1903)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,SHERMAN                      WY,34.2012,-118.4662,NA,"c(-118.4662, 34.2012)",Van Nuys
RFC,Black,2019,Male,Misdemeanor,11550AHS,NA,7TH,34.0433,-118.2488,NA,"c(-118.2488, 34.0433)",Downtown
RFC,White,2019,Female,Misdemeanor,11377H&S,NA,KITTRIDGE                    ST,34.1907,-118.4509,NA,"c(-118.4509, 34.1907)",Van Nuys
RFC,White,2019,Male,Misdemeanor,11377 H&S,NA,WYANDOTTE                    ST,34.203,-118.4501,NA,"c(-118.4501, 34.203)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,6100    VAN NUYS                     BL,34.181,-118.4487,NA,"c(-118.4487, 34.181)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377AHS,NA,51ST                         ST,33.9965,-118.28,NA,"c(-118.28, 33.9965)",South Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A),NA,WASHINGTON                   BL,34.0363,-118.2762,NA,"c(-118.2762, 34.0363)",University Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,6700    CLEON                        AV,34.1922,-118.3681,NA,"c(-118.3681, 34.1922)",North Hollywood
RFC,White,2019,Female,Misdemeanor,11377H&S,NA,10700    VENTURA                      BL,34.1379,-118.364,NA,"c(-118.364, 34.1379)",Studio City
RFC,White,2019,Female,Misdemeanor,11377 H&S,NA,AETNA                        ST,34.1837,-118.4443,NA,"c(-118.4443, 34.1837)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,6100    LANKERSHIM                   BL,34.1813,-118.3845,NA,"c(-118.3845, 34.1813)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,LANKERSHIM                   BL,34.1689,-118.377,NA,"c(-118.377, 34.1689)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377,NA,GLENDALE,34.0858,-118.2599,NA,"c(-118.2599, 34.0858)",Echo Park
RFC,White,2019,Male,Misdemeanor,11377(A)H&S,NA,14100    VENTURA                      BL,34.1495,-118.4399,NA,"c(-118.4399, 34.1495)",Sherman Oaks
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,381(B)LAMC,NA,4900    DARTMOUTH                    AV,34.0711,-118.1783,NA,"c(-118.1783, 34.0711)",El Sereno
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,EAGLE VISTA,34.1422,-118.1897,NA,"c(-118.1897, 34.1422)",Eagle Rock
RFC,White,2019,Male,Misdemeanor,11377,NA,RIVERSIDE                    DR,34.1523,-118.367,NA,"c(-118.367, 34.1523)",Toluca Lake
RFC,Black,2019,Male,Misdemeanor,11377,NA,1700    GLENDALE                     BL,34.0858,-118.2599,NA,"c(-118.2599, 34.0858)",Echo Park
RFC,White,2019,Female,Misdemeanor,11375HS,NA,4900    WIOTA                        ST,34.136,-118.1932,NA,"c(-118.1932, 34.136)",Eagle Rock
RFC,White,2019,Male,Misdemeanor,11377,NA,BELLINGHAM,34.1867,-118.3987,NA,"c(-118.3987, 34.1867)",North Hollywood
RFC,Other Asian,2019,Male,Misdemeanor,11377,NA,4300    EAGLE ROCK                   BL,34.1227,-118.2233,NA,"c(-118.2233, 34.1227)",Eagle Rock
RFC,Other,2019,Female,Misdemeanor,11377,NA,GARVANZA,34.0986,-118.2962,NA,"c(-118.2962, 34.0986)",East Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11550AH&S,NA,6TH,34.0428,-118.2461,NA,"c(-118.2461, 34.0428)",Downtown
RFC,White,2019,Male,Misdemeanor,11377H&S,NA,VANOWEN                      ST,34.1939,-118.4662,NA,"c(-118.4662, 34.1939)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,YORK,34.1148,-118.1826,NA,"c(-118.1826, 34.1148)",Highland Park
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11550 HS,NA,7TH,34.0437,-118.2455,NA,"c(-118.2455, 34.0437)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,SHERMAN                      WY,34.2012,-118.4662,NA,"c(-118.4662, 34.2012)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,200 S  AVENUE 50,34.1038,-118.2013,NA,"c(-118.2013, 34.1038)",Highland Park
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377(A)H&S,NA,1800    HANCOCK                      ST,34.0649,-118.209,NA,"c(-118.209, 34.0649)",Lincoln Heights
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,VICTORY,34.1867,-118.3996,NA,"c(-118.3996, 34.1867)",North Hollywood
RFC,White,2019,Male,Misdemeanor,11377,NA,HILLHURST,34.0986,-118.2962,NA,"c(-118.2962, 34.0986)",East Hollywood
RFC,White,2019,Male,Misdemeanor,11375H&S,NA,SEPULVEDA                    BL,34.1517,-118.4672,NA,"c(-118.4672, 34.1517)",Sherman Oaks
RFC,Black,2019,Male,Misdemeanor,11377H&S,NA,11300    BURBANK                      BL,34.1722,-118.3771,NA,"c(-118.3771, 34.1722)",North Hollywood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377H&S,NA,WYANDOTTE,34.2031,-118.4313,NA,"c(-118.4313, 34.2031)",Van Nuys
RFC,White,2019,Male,Misdemeanor,11377AHS,NA,9TH,33.7361,-118.2923,NA,"c(-118.2923, 33.7361)",San Pedro
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A),NA,81ST                         ST,33.9655,-118.2871,NA,"c(-118.2871, 33.9655)",Vermont Knolls
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,11500    VENTURA                      BL,34.1451,-118.3875,NA,"c(-118.3875, 34.1451)",Studio City
